"date","g_E","g_I","g_P","headline_mean","mu_median","mu_q05","mu_q95","mu_q25","mu_q75"
1959-12-01,0.836564527257444,0.0444489835109252,1.96399323555099,0.948335582106452,0.74989415,-0.100238544375,1.8792196425,0.32228325,1.23716759375
1960-03-01,0.0545317103007648,0.403939251247465,1.05767733418762,0.505382765245284,0.662710375,-0.042072468125,1.3970008975,0.3818106625,0.9586957875
1960-06-01,5.03884010846125,0.991515440210478,2.0835726477948,2.70464273215551,1.431375,0.674081945,2.28791657625,1.0907546875,1.79663244375
1960-09-01,-2.61156321426554,1.70980468165371,1.51373009936862,0.203990522252262,1.3745270875,0.49325151625,2.01959995,1.0658076375,1.65635654375
1960-12-01,0.90648700322955,-0.137485894400768,-1.29470866620913,-0.175235852460117,-0.2753822,-1.1002727375,0.518440372499999,-0.59349336875,0.0157668075
1961-03-01,2.12596115969514,-0.356244281190676,-0.87656661171831,0.297716755595386,-0.28425425,-0.923289815,0.5611972625,-0.55167480625,0.017737030625
1961-06-01,-0.471557539996503,-1.2350269118901,-1.62563688898665,-1.11074044695775,-1.0653898625,-1.69745695,-0.200212592875001,-1.3296700625,-0.74131055625
1961-09-01,-0.79882554267634,-0.811204239085761,-0.559309636862793,-0.723113139541631,-0.52031045,-1.13715937125,0.25249636625,-0.76654268125,-0.234481766875
1961-12-01,0.858922760569847,1.2957299391223,1.27628992256863,1.14364754075359,1.1855295625,0.48692625375,1.81622753125,0.9200143625,1.43094365
1962-03-01,1.93548784051263,3.39931096206278,2.94294070516159,2.759246502579,2.691415875,1.77873081375,3.4056603125,2.345820225,2.996903375
1962-06-01,1.82955667612923,2.59377942004146,1.26589914718398,1.89641174778489,1.7564941625,0.91487804875,2.58721105,1.41224615,2.10833674375
1962-09-01,0.316024027094741,-0.0122144185811024,2.12894358901199,0.810917732508543,0.8121707625,-0.11343419225,1.8747919925,0.384798375,1.2475395875
1962-12-01,2.40348107724859,0.750078192280945,2.19637584225421,1.78331170392791,1.3501937125,0.52104370125,2.25104462125,0.97705713125,1.72736363125
1963-03-01,2.35030239762981,2.34741056618297,2.16229420903691,2.28666905761656,2.0101441,1.1755706975,2.6987389875,1.69828801875,2.29477686875
1963-06-01,-2.18703525416881,0.194675002730094,-1.93569747084474,-1.30935257409449,-0.4360778625,-1.53347224125,0.47346970625,-0.9022525125,-0.03658140125
1963-09-01,4.08312534304685,4.01125688028436,3.97510439493551,4.02316220608891,3.460700125,2.48540110375,4.1545620125,3.10579625,3.768460875
1963-12-01,2.7150705631195,1.56904520658756,2.05534628328454,2.11315401766387,1.70470835,0.99203124625,2.38150537375,1.42098711875,1.97922136875
1964-03-01,0.444917838582626,-0.27882382976756,-0.69417291714764,-0.176026302777525,-0.19741196875,-0.84691447,0.5594424325,-0.45736320625,0.078662199375
1964-06-01,3.24497817236971,1.57918238171515,2.51039992423969,2.44485349277485,1.8795630375,1.14633464875,2.624311375,1.56827174375,2.18765140625
1964-09-01,-1.26849483557265,1.68983925498782,1.42370463537933,0.615016351598167,1.306055175,0.49669711,1.94301400875,1.009006875,1.57697706875
1964-12-01,3.62839956146708,2.23435389410618,2.54260338349788,2.80178561302371,2.2331951875,1.51773651875,2.8671176625,1.9576981,2.4913404
1965-03-01,0.879209265337622,1.44393014159725,0.209817970877957,0.844319125937609,0.887208,0.10989968575,1.6357536925,0.53694549375,1.2071973625
1965-06-01,1.38933532473615,1.50488024969491,1.77269819581447,1.55563792341518,1.4814386125,0.7537815925,2.1385692425,1.21153425625,1.72609301875
1965-09-01,-0.0217975388599356,-0.411001901647801,-0.475120403858043,-0.302639948121926,-0.216434565,-0.863983205,0.555360259999999,-0.477099325,0.069480863125
1965-12-01,1.07472163349662,-0.884008703527428,0.554735150383401,0.248482693450865,0.11832416375,-0.7933067475,0.99436383375,-0.26683494375,0.48866925625
1966-03-01,-1.37943640111775,0.405196146465947,0.12996587800842,-0.281424792214461,0.2159335625,-0.570226875,0.962921894999999,-0.0892955125,0.5136815625
1966-06-01,1.94979792862569,1.56736555707013,0.523002115368953,1.34672186702159,1.1546487625,0.295809015,1.96324754125,0.81370380625,1.49770026875
1966-09-01,2.52348247268142,1.40020020719565,4.47175134464626,2.79847800817444,2.060024075,1.0629071025,3.2306609875,1.623530075,2.510305875
1966-12-01,0.412798220079047,1.17802886814697,0.381916948748895,0.657581345658305,0.8127100125,-0.077303465125,1.68906349875,0.45351224375,1.16812869375
1967-03-01,4.28613618403908,4.31708951918317,2.87639162337108,3.82653910886444,2.900917875,1.8372183575,3.9064421875,2.480175,3.3240400625
1967-06-01,-0.726034998849379,-0.107707151222236,0.428365343886306,-0.13512560206177,0.25243835,-0.62074958625,1.1733726125,-0.09176621875,0.62130638125
1967-09-01,3.01641109135922,1.30376566150154,1.23382575842825,1.85133417042967,1.297978525,0.38310708375,2.19530720875,0.937826625,1.66535195625
1967-12-01,1.24435565907675,1.47988123623719,-0.164277938931612,0.853319652127441,0.745112875,-0.31211353875,1.78934293875,0.3167858375,1.18142330625
1968-03-01,-3.01737137901252,-1.78056874801076,2.18282822577649,-0.871703967082264,0.11401171,-1.35759244,1.59099746,-0.51620208125,0.74793566875
